=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.10.22 14:56:08 =~=~=~=~=~=~=~=~=~=~=~=
, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
107, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
106, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
105, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
104, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
103, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
102, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
101, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
100, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
99, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
98, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
97, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
96, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
95, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
94, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
93, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
92, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
91, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
90, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
89, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
88, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
87, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
86, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
85, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
84, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
83, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
82, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
81, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
80, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
79, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
78, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
77, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
76, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
75, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
74, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
73, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
72, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
71, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
70, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
69, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
68, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
67, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
66, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
65, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
64, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
63, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
62, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
61, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
60, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
59, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
58, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
57, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
56, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
55, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
54, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
53, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
52, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
51, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
50, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
49, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
48, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
47, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
46, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
45, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
44, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
43, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
42, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
41, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
40, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
39, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
38, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
37, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
36, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
35, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
34, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
33, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
32, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
31, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
27, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
26, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
23, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
22, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
21, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
20, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
19, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
18, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
16, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
14, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
13, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
12, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
11, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
9, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
8, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
7, 0
